INFO 2025-08-03 15:14:45,437 autoreload 3216 14028 Watching for file changes with StatReloader
INFO 2025-08-03 15:39:14,976 basehttp 4472 17184 "POST /api/generate-token/ HTTP/1.1" 201 20
WARNING 2025-08-03 15:39:14,992 log 4472 17184 Method Not Allowed: /api/generate-token/
WARNING 2025-08-03 15:39:14,992 basehttp 4472 17184 "GET /api/generate-token/ HTTP/1.1" 405 40
WARNING 2025-08-03 15:39:15,110 log 4472 17184 Not Found: /favicon.ico
WARNING 2025-08-03 15:39:15,110 basehttp 4472 17184 "GET /favicon.ico HTTP/1.1" 404 2366
INFO 2025-08-03 15:39:29,743 autoreload 4472 10096 D:\projects\Inventory\Inv\inventory_project\inventory\views.py changed, reloading.
INFO 2025-08-03 15:39:31,403 autoreload 15080 17212 Watching for file changes with StatReloader
INFO 2025-08-03 15:40:01,787 basehttp 15080 8668 "OPTIONS /api/admin/login/ HTTP/1.1" 200 0
WARNING 2025-08-03 15:40:01,800 log 15080 8668 Unauthorized: /api/admin/login/
WARNING 2025-08-03 15:40:01,804 basehttp 15080 8668 "POST /api/admin/login/ HTTP/1.1" 401 58
WARNING 2025-08-03 15:40:09,141 log 15080 8668 Unauthorized: /api/admin/login/
WARNING 2025-08-03 15:40:09,147 basehttp 15080 8668 "POST /api/admin/login/ HTTP/1.1" 401 58
WARNING 2025-08-03 15:40:29,201 log 15080 8668 Unauthorized: /api/admin/login/
WARNING 2025-08-03 15:40:29,202 basehttp 15080 8668 "POST /api/admin/login/ HTTP/1.1" 401 58
INFO 2025-08-03 15:40:52,101 basehttp 15080 8668 "OPTIONS /api/admin/register/ HTTP/1.1" 200 0
WARNING 2025-08-03 15:40:52,175 log 15080 8668 Unauthorized: /api/admin/register/
WARNING 2025-08-03 15:40:52,182 basehttp 15080 8668 "POST /api/admin/register/ HTTP/1.1" 401 58
INFO 2025-08-03 15:41:15,611 autoreload 15080 17212 D:\projects\Inventory\Inv\inventory_project\inventory\views.py changed, reloading.
INFO 2025-08-03 15:41:18,072 autoreload 12888 15668 Watching for file changes with StatReloader
WARNING 2025-08-03 15:41:57,424 log 12888 16572 Unauthorized: /api/admin/register/
WARNING 2025-08-03 15:41:57,426 basehttp 12888 16572 "POST /api/admin/register/ HTTP/1.1" 401 58
INFO 2025-08-03 15:43:04,110 autoreload 13380 408 Watching for file changes with StatReloader
WARNING 2025-08-03 15:43:57,723 log 13380 15220 Unauthorized: /api/admin/register/
WARNING 2025-08-03 15:43:57,758 basehttp 13380 15220 "POST /api/admin/register/ HTTP/1.1" 401 58
INFO 2025-08-03 15:46:20,860 autoreload 13380 408 D:\projects\Inventory\Inv\inventory_project\inventory\views.py changed, reloading.
INFO 2025-08-03 15:46:22,836 autoreload 32 1052 Watching for file changes with StatReloader
WARNING 2025-08-03 15:48:52,928 log 32 14652 Unauthorized: /api/products/
WARNING 2025-08-03 15:48:52,943 basehttp 32 14652 "GET /api/products/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:48:53,028 log 32 14652 Unauthorized: /api/products/
WARNING 2025-08-03 15:48:53,045 basehttp 32 14652 "GET /api/products/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:48:53,175 log 32 12592 Unauthorized: /api/customers/
WARNING 2025-08-03 15:48:53,176 basehttp 32 12592 "GET /api/customers/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:48:53,186 log 32 12592 Unauthorized: /api/customers/
WARNING 2025-08-03 15:48:53,191 basehttp 32 12592 "GET /api/customers/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:48:53,220 log 32 6364 Unauthorized: /api/sales/
WARNING 2025-08-03 15:48:53,221 basehttp 32 6364 "GET /api/sales/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:48:53,235 log 32 6364 Unauthorized: /api/sales/
WARNING 2025-08-03 15:48:53,236 basehttp 32 6364 "GET /api/sales/ HTTP/1.1" 401 27
INFO 2025-08-03 15:53:27,648 basehttp 32 15044 "OPTIONS /api/notifications/ HTTP/1.1" 200 0
WARNING 2025-08-03 15:53:27,716 log 32 15044 Unauthorized: /api/notifications/
WARNING 2025-08-03 15:53:27,716 basehttp 32 15044 "POST /api/notifications/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:53:30,001 log 32 15044 Unauthorized: /api/notifications/
WARNING 2025-08-03 15:53:30,002 basehttp 32 15044 "POST /api/notifications/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:53:30,856 log 32 15044 Unauthorized: /api/notifications/
WARNING 2025-08-03 15:53:30,857 basehttp 32 15044 "POST /api/notifications/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:53:32,784 log 32 15044 Unauthorized: /api/notifications/
WARNING 2025-08-03 15:53:32,785 basehttp 32 15044 "POST /api/notifications/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:53:57,229 log 32 15044 Unauthorized: /api/products/
WARNING 2025-08-03 15:53:57,231 basehttp 32 15044 "GET /api/products/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:53:57,237 log 32 15044 Unauthorized: /api/sales/
WARNING 2025-08-03 15:53:57,238 basehttp 32 15044 "GET /api/sales/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:53:57,247 log 32 15044 Unauthorized: /api/products/
WARNING 2025-08-03 15:53:57,247 basehttp 32 15044 "GET /api/products/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:53:57,262 log 32 15044 Unauthorized: /api/sales/
WARNING 2025-08-03 15:53:57,266 basehttp 32 15044 "GET /api/sales/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:53:57,342 log 32 14736 Unauthorized: /api/customers/
WARNING 2025-08-03 15:53:57,343 basehttp 32 14736 "GET /api/customers/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:53:57,354 log 32 14736 Unauthorized: /api/customers/
WARNING 2025-08-03 15:53:57,355 basehttp 32 14736 "GET /api/customers/ HTTP/1.1" 401 27
INFO 2025-08-03 15:54:06,322 autoreload 32 1052 D:\projects\Inventory\Inv\inventory_project\inventory\views.py changed, reloading.
INFO 2025-08-03 15:54:08,995 autoreload 15264 14136 Watching for file changes with StatReloader
WARNING 2025-08-03 15:54:09,886 log 15264 5904 Unauthorized: /api/sales/
WARNING 2025-08-03 15:54:09,886 log 15264 2008 Unauthorized: /api/customers/
WARNING 2025-08-03 15:54:09,886 basehttp 15264 5904 "GET /api/sales/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:54:09,886 log 15264 17396 Unauthorized: /api/products/
WARNING 2025-08-03 15:54:09,886 basehttp 15264 2008 "GET /api/customers/ HTTP/1.1" 401 27
WARNING 2025-08-03 15:54:09,904 basehttp 15264 17396 "GET /api/products/ HTTP/1.1" 401 27
